message,symbols,fixed attribute values
"(7, 7, 15, 15, 0)","{15, 7}","(1, 2, 3, 2)"
"(7, 8, 7, 7, 0)","{8, 7}","('_', 0, 3, '_')"
"(7, 8, 7, 8, 0)","{8, 7}","(2, 0, 3, 0)"
"(7, 8, 8, 7, 0)","{8, 7}","(1, 0, 3, 0)"
"(7, 8, 8, 8, 0)","{8, 7}","(2, 0, 3, 3)"
"(7, 12, 7, 7, 0)","{12, 7}","(1, '_', 3, 1)"
"(7, 14, 14, 14, 0)","{14, 7}","(0, 3, 3, '_')"
"(7, 15, 7, 7, 0)","{15, 7}","('_', 2, 3, '_')"
"(8, 6, 6, 6, 0)","{8, 6}","(0, 0, 0, 3)"
"(8, 6, 6, 8, 0)","{8, 6}","('_', 0, 0, '_')"
"(8, 6, 8, 6, 0)","{8, 6}","(2, 0, 0, 3)"
"(8, 6, 8, 8, 0)","{8, 6}","(2, 0, 0, '_')"
"(8, 7, 5, 7, 0)","{8, 5, 7}","(0, 0, 3, 1)"
"(8, 7, 7, 5, 0)","{8, 5, 7}","('_', 0, 3, 2)"
"(8, 7, 7, 7, 0)","{8, 7}","('_', 0, 3, '_')"
"(8, 7, 7, 8, 0)","{8, 7}","(0, 0, 3, '_')"
"(8, 7, 8, 7, 0)","{8, 7}","('_', 0, 3, '_')"
"(8, 7, 8, 8, 0)","{8, 7}","('_', 0, 3, '_')"
"(8, 8, 6, 6, 0)","{8, 6}","('_', 0, 0, 0)"
"(8, 8, 6, 8, 0)","{8, 6}","('_', 0, 0, '_')"
"(8, 8, 7, 7, 0)","{8, 7}","(0, 0, 3, '_')"
"(8, 8, 7, 8, 0)","{8, 7}","('_', 0, 3, '_')"
"(8, 8, 8, 5, 0)","{8, 5}","(0, 0, 2, 1)"
"(8, 8, 8, 6, 0)","{8, 6}","('_', 0, 0, 0)"
"(8, 8, 8, 7, 0)","{8, 7}","(0, 0, 3, 3)"
"(8, 8, 8, 8, 0)",{8},"('_', 0, '_', '_')"
"(8, 8, 8, 9, 0)","{8, 9}","(2, 0, 1, 0)"
"(8, 8, 8, 10, 0)","{8, 10}","('_', 0, 2, 3)"
"(8, 8, 9, 9, 0)","{8, 9}","('_', 0, 1, 3)"
"(8, 8, 10, 8, 0)","{8, 10}","('_', 0, 2, 3)"
"(8, 8, 10, 10, 0)","{8, 10}","('_', 0, 2, 3)"
"(8, 8, 13, 10, 0)","{8, 10, 13}","(3, 0, 2, 3)"
"(8, 9, 9, 9, 0)","{8, 9}","(0, 0, 1, 3)"
"(8, 10, 8, 8, 0)","{8, 10}","('_', 0, 2, 1)"
"(8, 10, 8, 10, 0)","{8, 10}","(1, 0, 2, 3)"
"(8, 10, 10, 8, 0)","{8, 10}","('_', 0, 2, 1)"
"(8, 10, 10, 10, 0)","{8, 10}","('_', 0, 2, '_')"
"(9, 2, 9, 9, 0)","{9, 2}","(0, 0, 1, 0)"
"(9, 4, 4, 4, 0)","{9, 4}","(3, 1, 1, '_')"
"(9, 4, 9, 9, 0)","{9, 4}","(3, 1, 1, '_')"
"(9, 9, 9, 9, 0)",{9},"('_', '_', 1, '_')"
"(9, 9, 9, 14, 0)","{9, 14}","('_', 3, 1, 1)"
"(9, 9, 9, 15, 0)","{9, 15}","(3, 2, 1, '_')"
"(9, 9, 11, 9, 0)","{9, 11}","('_', '_', 1, 3)"
"(9, 9, 14, 9, 0)","{9, 14}","('_', 3, 1, 1)"
"(9, 9, 14, 14, 0)","{9, 14}","(3, 3, 1, 3)"
"(9, 14, 9, 9, 0)","{9, 14}","(0, 3, 1, 1)"
"(9, 14, 9, 14, 0)","{9, 14}","(1, 3, 1, 3)"
"(9, 14, 14, 9, 0)","{9, 14}","(3, 3, 1, 1)"
"(9, 14, 14, 14, 0)","{9, 14}","('_', 3, 1, '_')"
"(9, 15, 9, 9, 0)","{9, 15}","(0, 2, 1, '_')"
"(9, 15, 9, 15, 0)","{9, 15}","(1, 2, 1, 3)"
"(9, 15, 15, 9, 0)","{9, 15}","(0, 2, 1, '_')"
"(9, 15, 15, 15, 0)","{9, 15}","(2, 2, 1, 3)"
"(10, 4, 4, 4, 0)","{10, 4}","(3, 1, 2, '_')"
"(10, 8, 8, 8, 0)","{8, 10}","('_', 0, 2, 0)"
"(10, 8, 8, 10, 0)","{8, 10}","(1, 0, 2, '_')"
"(10, 8, 10, 8, 0)","{8, 10}","(1, 0, 2, 0)"
"(10, 8, 10, 10, 0)","{8, 10}","(1, 0, 2, '_')"
"(10, 10, 4, 4, 0)","{10, 4}","('_', 1, 2, 0)"
"(10, 10, 8, 8, 0)","{8, 10}","('_', 0, 2, 2)"
"(10, 10, 10, 5, 0)","{10, 5}","('_', 0, 2, 1)"
"(10, 10, 10, 8, 0)","{8, 10}","(1, 0, 2, 0)"
"(10, 10, 10, 10, 0)",{10},"('_', '_', 2, '_')"
"(10, 10, 10, 14, 0)","{10, 14}","('_', 3, 2, '_')"
"(10, 10, 10, 15, 0)","{10, 15}","(2, 2, 2, 0)"
"(10, 10, 12, 10, 0)","{10, 12}","(0, 2, 2, 1)"
"(10, 10, 14, 14, 0)","{10, 14}","('_', 3, 2, '_')"
"(10, 10, 15, 10, 0)","{10, 15}","(2, 2, 2, 0)"
"(10, 10, 15, 15, 0)","{10, 15}","('_', 2, 2, 0)"
"(10, 12, 10, 10, 0)","{10, 12}","(0, 2, 2, 1)"
"(10, 14, 10, 14, 0)","{10, 14}","(1, 3, 2, '_')"
"(10, 14, 14, 14, 0)","{10, 14}","('_', 3, 2, '_')"
"(10, 15, 10, 10, 0)","{10, 15}","('_', 2, 2, '_')"
"(10, 15, 10, 15, 0)","{10, 15}","(0, 2, 2, '_')"
"(10, 15, 12, 10, 0)","{10, 12, 15}","(1, 2, 2, 1)"
"(10, 15, 15, 10, 0)","{10, 15}","('_', 2, 2, 0)"
"(10, 15, 15, 15, 0)","{10, 15}","(1, 2, 2, 0)"
"(11, 7, 7, 7, 0)","{11, 7}","(1, '_', 3, 3)"
"(11, 9, 9, 9, 0)","{9, 11}","(0, 0, 1, 3)"
"(11, 11, 6, 6, 0)","{11, 6}","(1, '_', 0, 3)"
"(11, 11, 6, 11, 0)","{11, 6}","(1, '_', 0, 3)"
"(11, 11, 11, 11, 0)",{11},"('_', '_', '_', 3)"
"(11, 11, 13, 11, 0)","{11, 13}","(3, '_', '_', 3)"
"(11, 13, 13, 11, 0)","{11, 13}","(3, '_', '_', 3)"
"(12, 2, 2, 2, 0)","{2, 12}","(0, '_', '_', '_')"
"(12, 3, 3, 3, 0)","{3, 12}","(1, '_', '_', '_')"
"(12, 3, 9, 9, 0)","{9, 3, 12}","(1, 3, 1, 1)"
"(12, 3, 10, 3, 0)","{10, 3, 12}","(1, '_', '_', 1)"
"(12, 3, 10, 10, 0)","{10, 3, 12}","(3, '_', 0, 1)"
"(12, 4, 4, 4, 0)","{12, 4}","(3, 1, '_', 1)"
"(12, 6, 10, 10, 0)","{10, 12, 6}","('_', '_', 0, 1)"
"(12, 7, 7, 7, 0)","{12, 7}","('_', '_', 3, 1)"
"(12, 9, 9, 9, 0)","{9, 12}","(0, '_', 1, 1)"
"(12, 10, 3, 3, 0)","{10, 3, 12}","(1, '_', '_', '_')"
"(12, 10, 10, 0, 0)","{0, 10, 12}","('_', '_', 0, 1)"
"(12, 10, 10, 10, 0)","{10, 12}","('_', '_', '_', 1)"
"(12, 10, 10, 12, 0)","{10, 12}","(0, 2, 2, 1)"
"(12, 10, 10, 14, 0)","{10, 12, 14}","(1, 3, '_', 1)"
"(12, 10, 14, 14, 0)","{10, 12, 14}","(1, 3, '_', 1)"
"(12, 12, 2, 10, 0)","{2, 10, 12}","(0, '_', 0, 1)"
"(12, 12, 10, 10, 0)","{10, 12}","(1, '_', '_', 1)"
"(12, 13, 13, 13, 0)","{12, 13}","(2, '_', '_', '_')"
"(12, 14, 14, 14, 0)","{12, 14}","(1, 3, '_', 1)"
"(13, 13, 13, 13, 0)",{13},"(3, '_', '_', '_')"
"(14, 7, 14, 14, 0)","{14, 7}","(2, 3, 3, 1)"
"(14, 9, 14, 9, 0)","{9, 14}","(0, 3, 1, '_')"
"(14, 10, 14, 14, 0)","{10, 14}","(0, 3, 2, 3)"
"(14, 14, 7, 14, 0)","{14, 7}","(1, 3, 3, '_')"
"(14, 14, 9, 14, 0)","{9, 14}","(2, 3, 1, 1)"
"(14, 14, 14, 7, 0)","{14, 7}","(0, 3, 3, '_')"
"(14, 14, 14, 9, 0)","{9, 14}","('_', 3, 1, 1)"
"(14, 14, 14, 14, 0)",{14},"('_', 3, '_', '_')"
"(15, 7, 7, 7, 0)","{7, 15}","('_', 2, 3, 2)"
"(15, 7, 7, 15, 0)","{7, 15}","('_', 2, 3, 2)"
"(15, 7, 15, 7, 0)","{7, 15}","('_', 2, 3, 1)"
"(15, 7, 15, 15, 0)","{7, 15}","('_', 2, 3, 2)"
"(15, 9, 9, 9, 0)","{9, 15}","('_', 2, 1, 0)"
"(15, 9, 9, 15, 0)","{9, 15}","(0, 2, 1, 3)"
"(15, 9, 15, 9, 0)","{9, 15}","(2, 2, 1, 3)"
"(15, 9, 15, 15, 0)","{9, 15}","(0, 2, 1, 3)"
"(15, 10, 10, 10, 0)","{10, 15}","(1, 2, 2, '_')"
"(15, 10, 10, 15, 0)","{10, 15}","(0, 2, 2, 1)"
"(15, 10, 12, 10, 0)","{10, 12, 15}","(1, 2, 2, 1)"
"(15, 10, 15, 10, 0)","{10, 15}","(0, 2, 2, '_')"
"(15, 10, 15, 15, 0)","{10, 15}","(1, 2, 2, '_')"
"(15, 12, 10, 10, 0)","{10, 12, 15}","('_', 2, 2, 1)"
"(15, 12, 15, 15, 0)","{12, 15}","(0, 2, '_', 1)"
"(15, 15, 6, 15, 0)","{6, 15}","(0, 2, 0, 1)"
"(15, 15, 7, 7, 0)","{7, 15}","('_', 2, 3, '_')"
"(15, 15, 7, 15, 0)","{7, 15}","(2, 2, 3, 2)"
"(15, 15, 9, 9, 0)","{9, 15}","(2, 2, 1, '_')"
"(15, 15, 9, 15, 0)","{9, 15}","(1, 2, 1, '_')"
"(15, 15, 10, 10, 0)","{10, 15}","('_', 2, 2, '_')"
"(15, 15, 12, 15, 0)","{12, 15}","(1, 2, '_', 1)"
"(15, 15, 15, 6, 0)","{6, 15}","('_', 2, 0, 1)"
"(15, 15, 15, 7, 0)","{7, 15}","('_', 2, 3, 0)"
"(15, 15, 15, 9, 0)","{9, 15}","(0, 2, 1, '_')"
"(15, 15, 15, 10, 0)","{10, 15}","('_', 2, 2, 1)"
"(15, 15, 15, 15, 0)",{15},"('_', 2, '_', '_')"
